reference_area,ref_area,time,series,value
Australia,AUS,1961-01-01,labor_share,0.47432707532232526
Australia,AUS,1961-01-01,contr_unit_labor_cost,1.5670353473634249
Australia,AUS,1961-01-01,contr_unit_profit,0.36586324500200823
Australia,AUS,1961-01-01,contr_unit_tax,0.2737350959937318
Australia,AUS,1961-01-01,contr_total,2.206633688359165
Australia,AUS,1961-01-01,contr_relative,4.283117718902929
Australia,AUS,1961-01-01,pc_lab_comp,6.500761808024369
Australia,AUS,1961-01-01,pc_profits,3.937007874015741
Australia,AUS,1961-01-01,pc_taxes,6.318681318681318
Australia,AUS,1961-01-01,pc_rgdp,3.094816215934304
Australia,AUS,1961-04-01,lab_comp,2097
Australia,AUS,1961-04-01,profits,1907
Australia,AUS,1961-04-01,taxes,361
Australia,AUS,1961-04-01,gdp,4322
Australia,AUS,1961-04-01,rgdp_index,15.201587434
Australia,AUS,1961-04-01,inflation_def,-0.4837342865575356
Australia,AUS,1961-04-01,inflation_cpi,3.94737979254709
Australia,AUS,1961-04-01,labor_share,0.48519204072188804
Australia,AUS,1961-04-01,contr_unit_labor_cost,1.9936509185825781
Australia,AUS,1961-04-01,contr_unit_profit,-1.07674909426684
Australia,AUS,1961-04-01,contr_unit_tax,-0.31321343776949534
Australia,AUS,1961-04-01,contr_total,0.6036883865462428
Australia,AUS,1961-04-01,contr_relative,-1.8515464087202764
Australia,AUS,1961-04-01,pc_lab_comp,3.3004926108374466
Australia,AUS,1961-04-01,pc_profits,-3.1979695431472055
Australia,AUS,1961-04-01,pc_taxes,-4.4973544973545
Australia,AUS,1961-04-01,pc_rgdp,-0.7765907775644787
Australia,AUS,1961-07-01,lab_comp,2125
Australia,AUS,1961-07-01,profits,1902
Australia,AUS,1961-07-01,taxes,349
Australia,AUS,1961-07-01,gdp,4330
Australia,AUS,1961-07-01,rgdp_index,15.091547589
Australia,AUS,1961-07-01,inflation_def,0.11877385837595344
Australia,AUS,1961-07-01,inflation_cpi,1.2987003906644867
Australia,AUS,1961-07-01,labor_share,0.4907621247113164
Australia,AUS,1961-07-01,contr_unit_labor_cost,1.90829104437421
Australia,AUS,1961-07-01,contr_unit_profit,-1.2130695530649631
Australia,AUS,1961-07-01,contr_unit_tax,-0.8149164931354712
Australia,AUS,1961-07-01,contr_total,-0.11969500182622428
Australia,AUS,1961-07-01,contr_relative,-1.5731093403116811
Australia,AUS,1961-07-01,pc_lab_comp,2.11436809226333
Australia,AUS,1961-07-01,pc_profits,-4.422110552763813
Australia,AUS,1961-07-01,pc_taxes,-11.64556962025316
Australia,AUS,1961-07-01,pc_rgdp,-1.7076546930155923
Australia,AUS,1961-10-01,lab_comp,2133
Australia,AUS,1961-10-01,profits,1933
Australia,AUS,1961-10-01,taxes,357
