year,ind,series,value,ind_title,ind_2d
2020,213,taxes,-29.166666666666668,Support activities for mining,FALSE
2021,213,taxes,0,Support activities for mining,FALSE
2022,213,taxes,112.5,Support activities for mining,FALSE
2023,213,taxes,116.66666666666667,Support activities for mining,FALSE
2019,22,coe,100,Utilities,TRUE
2020,22,coe,106.37087599544937,Utilities,TRUE
2021,22,coe,107.73606370875994,Utilities,TRUE
2022,22,coe,109.8976109215017,Utilities,TRUE
2023,22,coe,110.80773606370876,Utilities,TRUE
2019,22,gos,100,Utilities,TRUE
2020,22,gos,105.02540937323546,Utilities,TRUE
2021,22,gos,127.55505364201017,Utilities,TRUE
2022,22,gos,153.02089215132693,Utilities,TRUE
2023,22,gos,152.23037831733487,Utilities,TRUE
2019,22,taxes,100,Utilities,TRUE
2020,22,taxes,99.39939939939941,Utilities,TRUE
2021,22,taxes,105.25525525525525,Utilities,TRUE
2022,22,taxes,114.11411411411413,Utilities,TRUE
2023,22,taxes,119.36936936936938,Utilities,TRUE
2019,23,coe,100,Construction,TRUE
2020,23,coe,99.89973262032085,Construction,TRUE
2021,23,coe,106.43382352941177,Construction,TRUE
2022,23,coe,116.22660427807487,Construction,TRUE
2023,23,coe,124.33155080213905,Construction,TRUE
2019,23,gos,100,Construction,TRUE
2020,23,gos,120.74592074592076,Construction,TRUE
2021,23,gos,116.52097902097903,Construction,TRUE
2022,23,gos,118.00699300699301,Construction,TRUE
2023,23,gos,134.58624708624708,Construction,TRUE
2019,23,taxes,100,Construction,TRUE
2020,23,taxes,-481.4159292035398,Construction,TRUE
2021,23,taxes,-222.12389380530973,Construction,TRUE
2022,23,taxes,122.12389380530972,Construction,TRUE
2023,23,taxes,130.08849557522123,Construction,TRUE
2019,31-32-33,coe,100,Manufacturing,TRUE
2020,31-32-33,coe,98.75132837407013,Manufacturing,TRUE
2021,31-32-33,coe,104.62274176408077,Manufacturing,TRUE
2022,31-32-33,coe,111.99964576691463,Manufacturing,TRUE
2023,31-32-33,coe,117.33085370173573,Manufacturing,TRUE
2019,31-32-33,gos,100,Manufacturing,TRUE
2020,31-32-33,gos,95.60901107292861,Manufacturing,TRUE
2021,31-32-33,gos,111.89385261550211,Manufacturing,TRUE
2022,31-32-33,gos,125.76365024818634,Manufacturing,TRUE
2023,31-32-33,gos,134.53608247422682,Manufacturing,TRUE
2019,31-32-33,taxes,100,Manufacturing,TRUE
2020,31-32-33,taxes,35.76086956521739,Manufacturing,TRUE
2021,31-32-33,taxes,60,Manufacturing,TRUE
2022,31-32-33,taxes,111.08695652173913,Manufacturing,TRUE
2023,31-32-33,taxes,115.32608695652173,Manufacturing,TRUE
2019,311FT,coe,100,Food and beverage and tobacco products,FALSE
2020,311FT,coe,104.9342105263158,Food and beverage and tobacco products,FALSE
2021,311FT,coe,111.5953947368421,Food and beverage and tobacco products,FALSE
2022,311FT,coe,122.20394736842105,Food and beverage and tobacco products,FALSE
2023,311FT,coe,125.41118421052632,Food and beverage and tobacco products,FALSE
2019,311FT,gos,100,Food and beverage and tobacco products,FALSE
2020,311FT,gos,114.82391482391482,Food and beverage and tobacco products,FALSE
2021,311FT,gos,120.8845208845209,Food and beverage and tobacco products,FALSE
2022,311FT,gos,97.37919737919738,Food and beverage and tobacco products,FALSE
2023,311FT,gos,126.12612612612614,Food and beverage and tobacco products,FALSE
2019,311FT,taxes,100,Food and beverage and tobacco products,FALSE
2020,311FT,taxes,73.79310344827586,Food and beverage and tobacco products,FALSE
2021,311FT,taxes,80.6896551724138,Food and beverage and tobacco products,FALSE
2022,311FT,taxes,101.37931034482759,Food and beverage and tobacco products,FALSE
2023,311FT,taxes,98.96551724137932,Food and beverage and tobacco products,FALSE
2019,313TT,coe,100,Textile mills and textile product mills,FALSE
2020,313TT,coe,92.74193548387096,Textile mills and textile product mills,FALSE
2021,313TT,coe,99.19354838709677,Textile mills and textile product mills,FALSE
2022,313TT,coe,104.83870967741935,Textile mills and textile product mills,FALSE
2023,313TT,coe,101.61290322580645,Textile mills and textile product mills,FALSE
2019,313TT,gos,100,Textile mills and textile product mills,FALSE
2020,313TT,gos,127.02702702702702,Textile mills and textile product mills,FALSE
2021,313TT,gos,121.62162162162161,Textile mills and textile product mills,FALSE
2022,313TT,gos,97.29729729729729,Textile mills and textile product mills,FALSE
2023,313TT,gos,97.29729729729729,Textile mills and textile product mills,FALSE
2019,313TT,taxes,100,Textile mills and textile product mills,FALSE
2020,313TT,taxes,-66.66666666666667,Textile mills and textile product mills,FALSE
2021,313TT,taxes,16.666666666666668,Textile mills and textile product mills,FALSE
2022,313TT,taxes,116.66666666666667,Textile mills and textile product mills,FALSE
2023,313TT,taxes,133.33333333333334,Textile mills and textile product mills,FALSE
2019,315AL,coe,100,Apparel and leather and allied products,FALSE
2020,315AL,coe,88.15789473684211,Apparel and leather and allied products,FALSE
2021,315AL,coe,96.05263157894737,Apparel and leather and allied products,FALSE
2022,315AL,coe,105.26315789473685,Apparel and leather and allied products,FALSE
2023,315AL,coe,103.94736842105263,Apparel and leather and allied products,FALSE
