"","reference_area","ref_area","decade","var","contr_total","contr_unit_labor_cost","contr_unit_profit","contr_unit_tax","inflation_cpi","inflation_def"
"1","Australia","AUS","1950-1959","mean",NA,NA,NA,NA,NA,NA
"2","Australia","AUS","1950-1959","sd",NA,NA,NA,NA,NA,NA
"3","Australia","AUS","1960-1969","mean",2.90683806851624,1.67392719160033,1.06873305215277,0.164177824763134,2.47430623700883,2.9152246858378
"4","Australia","AUS","1960-1969","sd",1.6914148332853,1.14610849017977,1.60942385140517,0.388160484848637,1.54273776174888,1.86209408289657
"5","Australia","AUS","1970-1979","mean",10.65073516592,6.0686580789209,3.50147132465494,1.08060576234421,9.80799716868942,10.2759443010374
"6","Australia","AUS","1970-1979","sd",4.65772943135709,4.25029070902855,2.36824577320851,0.834896448082927,4.20686303693743,4.27160536236442
"7","Australia","AUS","1980-1989","mean",8.4928426695416,3.91335825056256,3.57403295146423,1.00545146751481,8.40941011078099,8.22428012934762
"8","Australia","AUS","1980-1989","sd",2.22778678854734,2.48291821993571,1.86900750596244,0.551717634143089,2.23319914144975,2.17705311623629
"9","Australia","AUS","1990-1999","mean",1.74360575686676,0.962029309116216,0.55565721743145,0.225919230319091,2.51093051035663,1.77881879190642
"10","Australia","AUS","1990-1999","sd",1.43447379405592,1.24141348443181,0.98311224700585,0.323726623538902,2.15940142192002,1.47641122154574
"11","Australia","AUS","2000-2009","mean",3.92255136518843,1.60276548026316,1.98861419806217,0.331171686863102,3.16471046671186,3.82127973421625
"12","Australia","AUS","2000-2009","sd",1.85466636253916,0.908777178208256,1.63414588454255,0.554642237670085,1.22623877167283,1.84559797696295
"13","Australia","AUS","2010-2019","mean",2.09863229784297,0.992290872355932,0.88371768363192,0.222623741855122,2.11826974639874,2.04887906502775
"14","Australia","AUS","2010-2019","sd",2.52165173812462,0.948074595149755,1.96916562466103,0.246808417063639,0.676298587431849,2.44142360546201
"15","Australia","AUS","2020-","mean",-6.5057714467704,2.06329988149931,1.23022289377516,-9.79929422204487,4.83673496639463,5.43375420878155
"16","Australia","AUS","2020-","sd",30.6428578427501,1.33021456791344,2.93045824397594,28.0181037705632,1.88581826868048,2.55392230333275
"17","Australia","AUS",NA,"mean",8.79110101145724,2.42351178221903,6.21593679714468,0.151652432093529,0.849111154897886,1.15504929105965
"18","Australia","AUS",NA,"sd",7.06815684342547,1.106911706823,4.89621660763867,1.78840720674562,1.04233917874049,1.05883234299805
"19","Austria","AUT","1990-1999","mean",0.792958287512039,-0.118604890095066,0.516541561017397,0.395021616589709,1.16545697181002,0.719379420478569
"20","Austria","AUT","1990-1999","sd",0.784053940130347,0.330245070456199,0.696294733037419,0.446637945391296,0.609861379583117,0.686550936231573
"21","Austria","AUT","2000-2009","mean",1.82560599701743,0.672666783253656,0.945310615270557,0.207628598493219,1.98623655723443,1.78062484784695
"22","Austria","AUT","2000-2009","sd",0.864563712855079,0.82137378343084,1.10966238869412,0.313549593851903,0.845534184345753,0.859351184262046
"23","Austria","AUT","2010-2019","mean",1.69364931675441,0.910675653085426,0.590319467937437,0.192654195731549,1.85916516844444,1.6747558497763
"24","Austria","AUT","2010-2019","sd",0.784988011417035,0.549017123676716,0.73822403591247,0.270472744726405,0.717573799849046,0.78397242978224
"25","Austria","AUT","2020-","mean",4.98216817582379,2.45875474524767,0.418746941783916,2.1046664887922,5.76778151884173,4.05917356353157
"26","Austria","AUT","2020-","sd",2.02454228859628,2.57459383328483,2.06850727601641,2.66346673829528,3.12089798472151,2.3494294858585
"27","Austria","AUT",NA,"mean",4.84021900119878,3.60098210101086,3.20790938056188,-1.96867248037396,1.38329238783234,2.59379445085447
"28","Austria","AUT",NA,"sd",2.71697500670995,2.57863049819978,1.88855197036818,1.16743320296992,0.359056675197007,0.266759241650831
"29","Belgium","BEL","1990-1999","mean",0.941036377326498,0.501270215187649,0.0634984845812274,0.376267677557622,1.44422538781201,0.90897891167664
"30","Belgium","BEL","1990-1999","sd",0.695273802798765,0.549063214793827,0.839305284720541,0.264215937469899,0.549312519925525,0.699330441623532
"31","Belgium","BEL","2000-2009","mean",1.90139221138306,1.08720226864018,0.782681223193074,0.0315087195498062,2.11933514423586,1.83800796532356
"32","Belgium","BEL","2000-2009","sd",0.487971927901661,1.16910631156381,1.09398081713054,0.299283373225381,1.23660672230991,0.497058213619188
"33","Belgium","BEL","2010-2019","mean",1.73535849198445,0.556379925651428,1.0062250649472,0.172753501385825,1.81758961508259,1.70270655610162
"34","Belgium","BEL","2010-2019","sd",0.551044204276501,0.706583527710692,0.601035133469887,0.379535646199735,1.05437880476196,0.550941289748324
"35","Belgium","BEL","2020-","mean",4.40578016419499,1.93712531811997,1.81567415383607,0.65298069223895,5.05165728907101,4.28102678264396
"36","Belgium","BEL","2020-","sd",2.24810921342404,1.55944879199269,1.86213186008375,0.767734964275212,3.50092079953906,2.26922347288326
"37","Belgium","BEL",NA,"mean",1.99106533469605,1.65967730346855,1.6081485260407,-1.27676049481321,0.74109051980869,1.58330569054474
"38","Belgium","BEL",NA,"sd",0.425399808504308,1.18241587891113,1.10966686249141,0.389104476230016,0.236192442643278,0.48473201339897
"39","Canada","CAN","1980-1989","mean",NA,NA,1.80845638511133,0.768319030694232,5.31428646559217,4.83778060394801
"40","Canada","CAN","1980-1989","sd",NA,NA,1.69051246364713,0.626120269591165,2.25893859623196,1.83286031024178
"41","Canada","CAN","1990-1999","mean",NA,NA,0.822995502862272,0.260933778093701,2.20159475080929,1.74599253827385
