reference_area,ref_area,time,labor_compensation,operating_surplus_mixed_income,taxes_minus_subsidies,gdp
Denmark,DNK,2013-10-01,250476.8,170089,68390.6,488956.4
Denmark,DNK,2014-01-01,252335.8,169306.5,68800.9,490443.2
Denmark,DNK,2014-04-01,252962.3,168744.2,69208.4,490914.9
Denmark,DNK,2014-07-01,253890,172329.9,70305.5,496525.5
Denmark,DNK,2014-10-01,256213.5,177023.3,69140.8,502377.6
Denmark,DNK,2015-01-01,258594.8,176164.2,69464.6,504223.6
Denmark,DNK,2015-04-01,260794.3,174638.7,70721.9,506154.8
Denmark,DNK,2015-07-01,263159.7,173088.6,72109.7,508358
Denmark,DNK,2015-10-01,264320.7,172812.4,74336.3,511469.4
Denmark,DNK,2016-01-01,267463.8,175222,73941.6,516627.5
Denmark,DNK,2016-04-01,270094.3,179000.5,74109.3,523204.1
Denmark,DNK,2016-07-01,270959,180307.6,74907.5,526174.1
Denmark,DNK,2016-10-01,272668.9,187390.8,75454.8,535514.5
Denmark,DNK,2017-01-01,274981.4,190745.7,75490.1,541217.3
Denmark,DNK,2017-04-01,277506.1,195410.1,76848,549764.2
Denmark,DNK,2017-07-01,279828.2,192605.5,74361.4,546795.2
Denmark,DNK,2017-10-01,284036.1,188012.1,79764.3,551812.5
Denmark,DNK,2018-01-01,284957.7,190900.6,76930.9,552789.2
Denmark,DNK,2018-04-01,288162.9,189497.3,80214.8,557875
Denmark,DNK,2018-07-01,289704.6,195161.2,80090.5,564956.3
Denmark,DNK,2018-10-01,291819.4,195601.9,80500.5,567921.8
Denmark,DNK,2019-01-01,295249.1,191090.7,80913.8,567253.6
Denmark,DNK,2019-04-01,296669.6,196059,81107.1,573835.7
Denmark,DNK,2019-07-01,299308.3,198977.4,81111.4,579397
Denmark,DNK,2019-10-01,302265.2,200777.6,80107.5,583150.3
Denmark,DNK,2020-01-01,302576.3,208072,76131.6,586779.9
Denmark,DNK,2020-04-01,297207.3,196769.5,57675.6,551652.4
Denmark,DNK,2020-07-01,303599.2,205863.5,81051.1,590513.8
Denmark,DNK,2020-10-01,307007.4,213309.8,77327.6,597644.8
Denmark,DNK,2021-01-01,309423.9,228734.6,71549.9,609708.3
Denmark,DNK,2021-04-01,315957.3,230532.5,83454.4,629944.2
Denmark,DNK,2021-07-01,321665.8,241420.4,85453.3,648539.5
Denmark,DNK,2021-10-01,330997.2,260550.7,87780.1,679328
Denmark,DNK,2022-01-01,334425.3,260142.5,88385.5,682953.3
Denmark,DNK,2022-04-01,338592.7,276325.7,93111.8,708030.3
Denmark,DNK,2022-07-01,342091.1,298834.3,92562.2,733487.6
Denmark,DNK,2022-10-01,350543,280591.7,88622.1,719756.8
Denmark,DNK,2023-01-01,351210.1,276503.1,85314.1,713027.4
Denmark,DNK,2023-04-01,356054.4,253960.4,87896.9,697911.8
Denmark,DNK,2023-07-01,359109.2,245336.3,87983.3,692428.8
Denmark,DNK,2023-10-01,362930.2,250402.7,88041.4,701374.3
Denmark,DNK,2024-01-01,368830,252687.9,87947.6,709465.5
Denmark,DNK,2024-04-01,375733.8,256700.2,88412.4,720846.3
Estonia,EST,1995-01-01,333,241.2,85,660.9
Estonia,EST,1995-04-01,350.9,261.4,78.3,694.7
Estonia,EST,1995-07-01,369.4,278.2,82.5,727.2
Estonia,EST,1995-10-01,393.2,293,92.5,776.9
Estonia,EST,1996-01-01,420,316,93.7,832.6
Estonia,EST,1996-04-01,443.5,338.9,106.6,893.4
Estonia,EST,1996-07-01,463.2,369,127,958
Estonia,EST,1996-10-01,476,392.8,124.8,991.5
Estonia,EST,1997-01-01,505.1,404.3,125.2,1036.3
Estonia,EST,1997-04-01,525.2,446.9,143.6,1116.6
Estonia,EST,1997-07-01,549.8,479.5,153.8,1184.3
Estonia,EST,1997-10-01,575.7,501.8,152.5,1231.2
Estonia,EST,1998-01-01,583.1,539.4,145.5,1269.9
Estonia,EST,1998-04-01,593.5,527.1,145.7,1266
Estonia,EST,1998-07-01,605.4,543.8,137,1285.7
Estonia,EST,1998-10-01,608,536,133.9,1280.9
Estonia,EST,1999-01-01,596,575.3,126.1,1298.9
Estonia,EST,1999-04-01,612.4,582.4,144.4,1338.5
Estonia,EST,1999-07-01,620.5,599.8,147.7,1366.4
Estonia,EST,1999-10-01,639.7,608.4,150.4,1401.8
Estonia,EST,2000-01-01,669.5,636.3,167.8,1473.2
Estonia,EST,2000-04-01,683,665.2,165.9,1515
Estonia,EST,2000-07-01,702.7,662.8,181.8,1542.6
Estonia,EST,2000-10-01,725.7,722.8,183.8,1638.7
Estonia,EST,2001-01-01,746.7,728.3,189.1,1659.3
Estonia,EST,2001-04-01,768.2,750.7,205.3,1725
Estonia,EST,2001-07-01,781.8,773.2,204.5,1757.3
Estonia,EST,2001-10-01,800.1,828.4,200.4,1838.6
Estonia,EST,2002-01-01,815.1,820.8,234.7,1857
Estonia,EST,2002-04-01,843.4,871.9,232.5,1948
Estonia,EST,2002-07-01,866.5,889.4,223.6,1980.3
Estonia,EST,2002-10-01,895.4,912,217.8,2039.3
Estonia,EST,2003-01-01,919.2,940.6,265.8,2106.5
Estonia,EST,2003-04-01,951.8,960.7,256.8,2171.1
Estonia,EST,2003-07-01,973.9,974.3,252.2,2200.8
Estonia,EST,2003-10-01,1000.7,1035.2,220,2270.2
Estonia,EST,2004-01-01,1027.6,1055.6,352.7,2411.8
Estonia,EST,2004-04-01,1046.6,1069.8,219.5,2337
Estonia,EST,2004-07-01,1081.8,1129.3,273.1,2488.8
Estonia,EST,2004-10-01,1109.6,1139.6,285,2545
Estonia,EST,2005-01-01,1154.9,1213.2,297.6,2651.9
Estonia,EST,2005-04-01,1198.7,1246.2,342.9,2783.3
Estonia,EST,2005-07-01,1254.4,1311.9,318.8,2893.9
Estonia,EST,2005-10-01,1310,1360.7,331.5,3006.7
Estonia,EST,2006-01-01,1355.1,1443.4,385,3176.8
Estonia,EST,2006-04-01,1425.2,1460.6,406.7,3285.3
Estonia,EST,2006-07-01,1508.8,1535.5,422.1,3472.6
Estonia,EST,2006-10-01,1613.3,1587.7,424.5,3621.1
Estonia,EST,2007-01-01,1712.4,1718.4,479.8,3916.9
Estonia,EST,2007-04-01,1802,1751.2,468.7,4021.6
Estonia,EST,2007-07-01,1869.2,1806.4,472.2,4153.3
Estonia,EST,2007-10-01,1958.8,1793.1,557.9,4287.3
Estonia,EST,2008-01-01,2043.1,1651.8,421.3,4145.5
Estonia,EST,2008-04-01,2073.1,1737.9,494.6,4310.9
Estonia,EST,2008-07-01,2070,1672.2,453.1,4191.4
Estonia,EST,2008-10-01,2006.9,1582.4,402.5,3963
Estonia,EST,2009-01-01,1876.5,1341,426.9,3677.1
Estonia,EST,2009-04-01,1784.8,1295,446.4,3529.1
Estonia,EST,2009-07-01,1736.6,1274.3,432.9,3430.5
Estonia,EST,2009-10-01,1670.5,1354.2,515.5,3511.9
Estonia,EST,2010-01-01,1708.2,1359.2,427.1,3518.8
Estonia,EST,2010-04-01,1699.6,1469.8,417.1,3593.7
Estonia,EST,2010-07-01,1718.5,1598.2,432.9,3753.4
Estonia,EST,2010-10-01,1741.6,1704.9,456.1,3873.1
Estonia,EST,2011-01-01,1784.4,1790.4,469.2,4054.1
Estonia,EST,2011-04-01,1842.6,1825.7,473.3,4146.2
Estonia,EST,2011-07-01,1890.4,1855.6,500.2,4251.6
Estonia,EST,2011-10-01,1930.2,1875.4,500.5,4289.3
Estonia,EST,2012-01-01,1959.8,1888.8,517.1,4374.2
Estonia,EST,2012-04-01,1988.1,1960.3,551.7,4499.2
Estonia,EST,2012-07-01,1999.6,2018.9,563.1,4585.7
Estonia,EST,2012-10-01,2049.4,2072.4,516.4,4624.5
Estonia,EST,2013-01-01,2074.4,2139.4,527.4,4746.9
Estonia,EST,2013-04-01,2123,2082.9,565.4,4769.9
Estonia,EST,2013-07-01,2149.4,2122,567.6,4844.5
Estonia,EST,2013-10-01,2181.5,2056.4,574.7,4802.1
Estonia,EST,2014-01-01,2220.9,2155.5,611.5,4987.1
Estonia,EST,2014-04-01,2273.2,2168.1,622.2,5057
Estonia,EST,2014-07-01,2331.5,2139.5,612.3,5092.5
Estonia,EST,2014-10-01,2339.3,2219.3,665.9,5218.8
Estonia,EST,2015-01-01,2400.9,2051.4,664.5,5119.5
Estonia,EST,2015-04-01,2374.9,2192.1,690.6,5243.6
Estonia,EST,2015-07-01,2444.5,2195.2,663.9,5308.3
Estonia,EST,2015-10-01,2544.4,2099.1,688.5,5331.7
Estonia,EST,2016-01-01,2554.9,2192.6,742.9,5496.3
Estonia,EST,2016-04-01,2583.7,2170.8,714.8,5467.4
Estonia,EST,2016-07-01,2609.2,2214.3,722.6,5540.6
Estonia,EST,2016-10-01,2636.8,2279.4,778.3,5677.8
Estonia,EST,2017-01-01,2715.1,2441.5,725.5,5885.3
Estonia,EST,2017-04-01,2808.8,2494.8,761.6,6074.7
Estonia,EST,2017-07-01,2851.7,2448.8,766.4,6067.5
Estonia,EST,2017-10-01,2933.2,2502.5,840.6,6259
Estonia,EST,2018-01-01,2975,2581.6,849,6396.2
Estonia,EST,2018-04-01,3038.2,2644,853.4,6544
Estonia,EST,2018-07-01,3178.1,2646.7,802.8,6623.7
Estonia,EST,2018-10-01,3277.9,2761.1,812,6834.1
Estonia,EST,2019-01-01,3365.8,2721.5,919.8,7000.6
Estonia,EST,2019-04-01,3421,2773.5,875.3,7102.9
Estonia,EST,2019-07-01,3376.2,2834.4,908.9,7119.1
Estonia,EST,2019-10-01,3417.1,2861.3,967.5,7213.9
Estonia,EST,2020-01-01,3550,2753.9,786.3,7068.4
Estonia,EST,2020-04-01,3224.9,2761.1,564.4,6579.4
Estonia,EST,2020-07-01,3470.4,2723.2,818.8,7020.3
Estonia,EST,2020-10-01,3572.5,2784.2,843.2,7175.6
Estonia,EST,2021-01-01,3607.5,2933.8,926,7444.5
Estonia,EST,2021-04-01,3725.2,3125.4,810.4,7679.8
Estonia,EST,2021-07-01,3806.3,3225.7,914.2,7959.7
Estonia,EST,2021-10-01,3933,3401.8,997.8,8314.3
Estonia,EST,2022-01-01,4078.7,3666.7,988.6,8727.2
Estonia,EST,2022-04-01,4248.2,3577,1132.2,8958
Estonia,EST,2022-07-01,4344.3,3870,1061.9,9310.6
Estonia,EST,2022-10-01,4461.9,3863.7,1072.6,9390.3
Estonia,EST,2023-01-01,4634.8,3733.9,1106.4,9479.3
Estonia,EST,2023-04-01,4716.5,3609.9,1171.6,9499.6
Estonia,EST,2023-07-01,4782.4,3624.7,1097.4,9527.4
Estonia,EST,2023-10-01,4852.7,3623.9,1201.7,9657.6
Estonia,EST,2024-01-01,4880.5,3545.1,1152.4,9581.8
Estonia,EST,2024-04-01,4937.8,3632.3,1199.5,9766.7
Euro area (20 countries),EA20,1995-01-01,693756.4,577067.6,142886.4,1413710.4
Euro area (20 countries),EA20,1995-04-01,702726.8,582889.4,145219.1,1430835.3
Euro area (20 countries),EA20,1995-07-01,710916.4,595055.4,146707.1,1452679
Euro area (20 countries),EA20,1995-10-01,720280.1,599488.5,147406.4,1467175
Euro area (20 countries),EA20,1996-01-01,723887.2,603549.6,152777.6,1480214.4
Euro area (20 countries),EA20,1996-04-01,728735.3,616984,151970.4,1497689.7
Euro area (20 countries),EA20,1996-07-01,736303.1,620524.5,154858,1511685.6
Euro area (20 countries),EA20,1996-10-01,737003.2,625264.2,155009.8,1517277.2
Euro area (20 countries),EA20,1997-01-01,737490.1,618473.4,158971.6,1514935.1
Euro area (20 countries),EA20,1997-04-01,739266,629522.2,160589.4,1529377.6
Euro area (20 countries),EA20,1997-07-01,741757.6,639076.4,163222.7,1544056.7
Euro area (20 countries),EA20,1997-10-01,748503.2,655346.9,164774.5,1568624.6
Euro area (20 countries),EA20,1998-01-01,749064,653772.4,172908.4,1575744.8
Euro area (20 countries),EA20,1998-04-01,758055.6,655366.1,176987.2,1590408.9
Euro area (20 countries),EA20,1998-07-01,768263.2,660553.4,177846.4,1606663
Euro area (20 countries),EA20,1998-10-01,780428.7,664503.2,182875.8,1627807.8
Euro area (20 countries),EA20,1999-01-01,786805.9,675651.2,185379.7,1647836.8
Euro area (20 countries),EA20,1999-04-01,798370.2,672737.5,188118.6,1659226.3
Euro area (20 countries),EA20,1999-07-01,807973.3,683069.6,191615.3,1682658.3
Euro area (20 countries),EA20,1999-10-01,818890.5,690663.4,196463.6,1706017.6
Euro area (20 countries),EA20,2000-01-01,831519.5,707421.7,197159.4,1736100.6
Euro area (20 countries),EA20,2000-04-01,840730.9,715316.3,199522.2,1755569.4
Euro area (20 countries),EA20,2000-07-01,852288.1,726648.5,197541.9,1776478.5
Euro area (20 countries),EA20,2000-10-01,861769.5,734723.3,199272.1,1795764.9
Euro area (20 countries),EA20,2001-01-01,868583.9,759585.7,200753,1828922.7
Euro area (20 countries),EA20,2001-04-01,876229.6,761773.3,203514.3,1841517.3
Euro area (20 countries),EA20,2001-07-01,884398.1,768181.5,203677.5,1856257.1
Euro area (20 countries),EA20,2001-10-01,892971.3,772369.7,205428.5,1870769.5
Euro area (20 countries),EA20,2002-01-01,901030.6,779896.3,206274.6,1887201.6
Euro area (20 countries),EA20,2002-04-01,908175.9,784673,210457,1903306
Euro area (20 countries),EA20,2002-07-01,915590.6,796767.1,212549.6,1924907.3
Euro area (20 countries),EA20,2002-10-01,922276.3,802175.8,213145.1,1937597.2
Euro area (20 countries),EA20,2003-01-01,925958.6,804529.7,214060,1944548.3
Euro area (20 countries),EA20,2003-04-01,931832.1,809129.1,215571.8,1956533
Euro area (20 countries),EA20,2003-07-01,944847.5,819032.2,217750.2,1981629.9
Euro area (20 countries),EA20,2003-10-01,946336.4,828569.3,223492.6,1998398.4
Euro area (20 countries),EA20,2004-01-01,954571.6,840765.8,223888.6,2019226
Euro area (20 countries),EA20,2004-04-01,962390,855486.3,226056.4,2043932.8
Euro area (20 countries),EA20,2004-07-01,967316.1,859788.4,231248.8,2058353.2
Euro area (20 countries),EA20,2004-10-01,973811.7,868147.6,236662.1,2078621.3
Euro area (20 countries),EA20,2005-01-01,980566.2,876452.3,235144.6,2092163.1
Euro area (20 countries),EA20,2005-04-01,989549.7,884814.8,240303.6,2114668
Euro area (20 countries),EA20,2005-07-01,998855.3,895654.6,246051.7,2140561.6
Euro area (20 countries),EA20,2005-10-01,1012395.2,909302,247903.7,2169601
Euro area (20 countries),EA20,2006-01-01,1019816,922895.8,253355.6,2196067.5
Euro area (20 countries),EA20,2006-04-01,1033107.6,945422.6,255564.3,2234094.5
Euro area (20 countries),EA20,2006-07-01,1044595.6,957802.4,257667.5,2260065.5
Euro area (20 countries),EA20,2006-10-01,1056501.5,978067.5,263299.4,2297868.4
Euro area (20 countries),EA20,2007-01-01,1068697.7,994950.6,270180,2333828.3
Euro area (20 countries),EA20,2007-04-01,1080756.1,1009394.8,270180.2,2360331.2
Euro area (20 countries),EA20,2007-07-01,1092284.3,1018289.4,270937.6,2381511.3
Euro area (20 countries),EA20,2007-10-01,1108696,1029605.6,272103.5,2410405.1
Euro area (20 countries),EA20,2008-01-01,1127324.2,1039748.4,270422.4,2437495
Euro area (20 countries),EA20,2008-04-01,1134515.6,1039048.2,268613.9,2442177.6
Euro area (20 countries),EA20,2008-07-01,1143960,1024630,266176,2434766.1
Euro area (20 countries),EA20,2008-10-01,1142079.4,1000276,259436.7,2401792.1
Euro area (20 countries),EA20,2009-01-01,1133118.7,953011.2,250804.9,2336934.8
Euro area (20 countries),EA20,2009-04-01,1130072.8,960346.9,245582.2,2336002
Euro area (20 countries),EA20,2009-07-01,1133097.7,965316.9,247343.6,2345758.2
Euro area (20 countries),EA20,2009-10-01,1137650.2,973103,251798.1,2362551.3
Euro area (20 countries),EA20,2010-01-01,1140626.8,980558,253070.9,2374255.7
Euro area (20 countries),EA20,2010-04-01,1149379.1,990683.6,261164.6,2401227.3
Euro area (20 countries),EA20,2010-07-01,1154514.7,1002969.1,263962.5,2421446.3
Euro area (20 countries),EA20,2010-10-01,1161079.3,1011762.5,267314.3,2440156.1
Euro area (20 countries),EA20,2011-01-01,1170762.5,1026657.7,273917.7,2471337.8
Euro area (20 countries),EA20,2011-04-01,1178156.6,1025612.1,272971.5,2476740.2
Euro area (20 countries),EA20,2011-07-01,1180218.6,1029994.9,275311.4,2485524.9
Euro area (20 countries),EA20,2011-10-01,1184119.3,1025784.1,275164.4,2485067.8
Euro area (20 countries),EA20,2012-01-01,1188080.5,1017647.1,283288.4,2489015.9
Euro area (20 countries),EA20,2012-04-01,1191332,1016717.2,277864.1,2485913.3
Euro area (20 countries),EA20,2012-07-01,1191859,1016855.6,283333,2492047.6
Euro area (20 countries),EA20,2012-10-01,1191584,1009114.5,286583.4,2487281.9
Euro area (20 countries),EA20,2013-01-01,1196182.2,1015070.1,281346.5,2492598.7
Euro area (20 countries),EA20,2013-04-01,1200147.2,1026841.1,287048.5,2514036.8
Euro area (20 countries),EA20,2013-07-01,1205949.5,1031483.6,287974.8,2525407.8
Euro area (20 countries),EA20,2013-10-01,1210481.4,1035971.9,287041,2533494.3
Euro area (20 countries),EA20,2014-01-01,1218612.1,1045875.7,292322.7,2556810.5
Euro area (20 countries),EA20,2014-04-01,1225808,1049247.8,292305.9,2567361.8
Euro area (20 countries),EA20,2014-07-01,1233640.1,1053318.6,296205.5,2583164.3
Euro area (20 countries),EA20,2014-10-01,1241086.2,1059821.1,299921.4,2600828.7
Euro area (20 countries),EA20,2015-01-01,1248029.5,1086731.4,298970.1,2633731
Euro area (20 countries),EA20,2015-04-01,1259576.2,1092525.8,303910.1,2656012.1
Euro area (20 countries),EA20,2015-07-01,1267807.4,1101548.7,307177.8,2676533.8
Euro area (20 countries),EA20,2015-10-01,1278235.5,1099544.3,314555.9,2692335.7
Euro area (20 countries),EA20,2016-01-01,1287578,1116325.8,309297.4,2713201.1
Euro area (20 countries),EA20,2016-04-01,1294898.1,1115620.8,312958.1,2723477
Euro area (20 countries),EA20,2016-07-01,1306474.6,1123529.2,314013.3,2744017.1
Euro area (20 countries),EA20,2016-10-01,1318250.6,1133197.6,315958.2,2767406.4
Euro area (20 countries),EA20,2017-01-01,1331657.4,1140848,324476.6,2796982
Euro area (20 countries),EA20,2017-04-01,1344873.2,1159164.2,326129.1,2830166.4
Euro area (20 countries),EA20,2017-07-01,1357010.3,1175539.5,324613.1,2857162.9
Euro area (20 countries),EA20,2017-10-01,1372174.8,1191839.2,328584.6,2892598.5
Euro area (20 countries),EA20,2018-01-01,1384258.7,1185091.7,335649.5,2904999.9
Euro area (20 countries),EA20,2018-04-01,1400386.7,1186330.4,339626.4,2926343.5
Euro area (20 countries),EA20,2018-07-01,1415878.9,1186642.9,340302.9,2942824.7
Euro area (20 countries),EA20,2018-10-01,1427799.5,1208003,340881.4,2976683.9
Euro area (20 countries),EA20,2019-01-01,1441096.6,1213531.8,352820.8,3007449.2
Euro area (20 countries),EA20,2019-04-01,1456596.1,1215177.3,355435.2,3027208.6
Euro area (20 countries),EA20,2019-07-01,1468445.8,1222437,356788.4,3047671.2
Euro area (20 countries),EA20,2019-10-01,1474536.4,1233063.2,356333.9,3063933.4
Euro area (20 countries),EA20,2020-01-01,1459354.2,1192857.2,326835.7,2979047.1
Euro area (20 countries),EA20,2020-04-01,1354025.4,1084503.7,239189.5,2677718.6
Euro area (20 countries),EA20,2020-07-01,1449620.3,1202940,306566.3,2959126.5
Euro area (20 countries),EA20,2020-10-01,1466946.9,1231303.2,291904.4,2990154.5
Euro area (20 countries),EA20,2021-01-01,1469974.1,1267129.7,290341.9,3027445.8
Euro area (20 countries),EA20,2021-04-01,1496684.1,1293182.8,314883,3104749.9
Euro area (20 countries),EA20,2021-07-01,1544111,1305177.1,352768.8,3202056.9
Euro area (20 countries),EA20,2021-10-01,1568178,1344681.3,349406.2,3262265.5
Euro area (20 countries),EA20,2022-01-01,1590118,1368144.4,371096.3,3329358.6
Euro area (20 countries),EA20,2022-04-01,1611243.1,1410879.4,377062.7,3399185.3
Euro area (20 countries),EA20,2022-07-01,1639094.3,1453026.6,370070.8,3462191.7
Euro area (20 countries),EA20,2022-10-01,1672861.4,1493650.7,357260.3,3523772.4
Euro area (20 countries),EA20,2023-01-01,1706014.2,1514924.3,373420.8,3594359.3
Euro area (20 countries),EA20,2023-04-01,1727477.6,1534182.7,374097.1,3635757.4
Euro area (20 countries),EA20,2023-07-01,1751847.8,1531931.9,381236.4,3665016
Euro area (20 countries),EA20,2023-10-01,1782570.2,1542072,382078.9,3706721.1
Euro area (20 countries),EA20,2024-01-01,1806468.9,1533018.4,403127.6,3742614.9
Euro area (20 countries),EA20,2024-04-01,1823421.2,1548641.9,396623.7,3768686.8
European Union (27 countries from 01/02/2020),EU27_2020,1995-01-01,754532.3,638722.2,162173.3,1555427.8
European Union (27 countries from 01/02/2020),EU27_2020,1995-04-01,763981.7,643566.6,164798.1,1572346.4
European Union (27 countries from 01/02/2020),EU27_2020,1995-07-01,774335.2,656881.8,167399,1598615.9
European Union (27 countries from 01/02/2020),EU27_2020,1995-10-01,787437.3,660761.8,169280.4,1617479.5
European Union (27 countries from 01/02/2020),EU27_2020,1996-01-01,791863.4,668866,175160.1,1635889.4
European Union (27 countries from 01/02/2020),EU27_2020,1996-04-01,798979,681081.1,174839,1654899.1
European Union (27 countries from 01/02/2020),EU27_2020,1996-07-01,807406.3,685823.1,178303.5,1671532.9
European Union (27 countries from 01/02/2020),EU27_2020,1996-10-01,809206.2,689689.6,179132,1678027.8
European Union (27 countries from 01/02/2020),EU27_2020,1997-01-01,809806.2,685045.1,182874.4,1677725.7
European Union (27 countries from 01/02/2020),EU27_2020,1997-04-01,812961.7,696909.3,184680.4,1694551.4
European Union (27 countries from 01/02/2020),EU27_2020,1997-07-01,817071,708822.3,187862.7,1713756
European Union (27 countries from 01/02/2020),EU27_2020,1997-10-01,824093.9,726458.2,189944.9,1740497
European Union (27 countries from 01/02/2020),EU27_2020,1998-01-01,825668.2,724450,200627.6,1750745.7
European Union (27 countries from 01/02/2020),EU27_2020,1998-04-01,836252.1,727954.3,205022.3,1769228.7
European Union (27 countries from 01/02/2020),EU27_2020,1998-07-01,847413.8,732354.4,205710.4,1785478.6
European Union (27 countries from 01/02/2020),EU27_2020,1998-10-01,858978,735316.5,210436.8,1804731.3
European Union (27 countries from 01/02/2020),EU27_2020,1999-01-01,865539.8,745720.7,213414.9,1824675.4
European Union (27 countries from 01/02/2020),EU27_2020,1999-04-01,877006.6,745936.1,217440.9,1840383.6
European Union (27 countries from 01/02/2020),EU27_2020,1999-07-01,891752.4,756657.8,222032.9,1870443.1
European Union (27 countries from 01/02/2020),EU27_2020,1999-10-01,902668.4,768998.6,226723.1,1898390.1
European Union (27 countries from 01/02/2020),EU27_2020,2000-01-01,919664,787487.6,227654.1,1934805.7
European Union (27 countries from 01/02/2020),EU27_2020,2000-04-01,931260.7,798169.4,231186.2,1960616.3
European Union (27 countries from 01/02/2020),EU27_2020,2000-07-01,944503.7,811566.9,229500.6,1985571.2
European Union (27 countries from 01/02/2020),EU27_2020,2000-10-01,955182.5,821294,230905.3,2007381.7
European Union (27 countries from 01/02/2020),EU27_2020,2001-01-01,963376.4,844519,232459,2040354.4
European Union (27 countries from 01/02/2020),EU27_2020,2001-04-01,975106.9,849613.2,236322.1,2061042.2
European Union (27 countries from 01/02/2020),EU27_2020,2001-07-01,981407.8,854727.5,235977.1,2072112.4
European Union (27 countries from 01/02/2020),EU27_2020,2001-10-01,991608.7,860391.9,238181.3,2090181.8
European Union (27 countries from 01/02/2020),EU27_2020,2002-01-01,1002437.6,872033.8,240271.2,2114742.5
European Union (27 countries from 01/02/2020),EU27_2020,2002-04-01,1009536,878104,244733.2,2132373.1
European Union (27 countries from 01/02/2020),EU27_2020,2002-07-01,1015828.5,887763.5,246782.3,2150374.3
European Union (27 countries from 01/02/2020),EU27_2020,2002-10-01,1024112,894319.2,248470.6,2166901.7
European Union (27 countries from 01/02/2020),EU27_2020,2003-01-01,1027118.4,896561.7,248788.5,2172468.7
European Union (27 countries from 01/02/2020),EU27_2020,2003-04-01,1033590.5,900274.6,250532,2184397.1
European Union (27 countries from 01/02/2020),EU27_2020,2003-07-01,1046703.9,911615.8,253039.1,2211358.8
European Union (27 countries from 01/02/2020),EU27_2020,2003-10-01,1049129.7,922416.8,259007.7,2230554.2
European Union (27 countries from 01/02/2020),EU27_2020,2004-01-01,1057230,935151.9,261380.8,2253762.7
European Union (27 countries from 01/02/2020),EU27_2020,2004-04-01,1067457.5,955575.8,261389.1,2284422.3
European Union (27 countries from 01/02/2020),EU27_2020,2004-07-01,1075135.4,962777.9,268730.1,2306643.4
European Union (27 countries from 01/02/2020),EU27_2020,2004-10-01,1084493.2,976645.6,275304.9,2336443.6
European Union (27 countries from 01/02/2020),EU27_2020,2005-01-01,1095168.2,986094,275048.7,2356310.9
European Union (27 countries from 01/02/2020),EU27_2020,2005-04-01,1104529.9,995933.3,280237.3,2380700.6
European Union (27 countries from 01/02/2020),EU27_2020,2005-07-01,1116796.2,1009192.7,287373.2,2413362.2
European Union (27 countries from 01/02/2020),EU27_2020,2005-10-01,1132191.1,1024134.4,290045.3,2446370.8
European Union (27 countries from 01/02/2020),EU27_2020,2006-01-01,1142520.2,1044555.4,294675.7,2481751.3
European Union (27 countries from 01/02/2020),EU27_2020,2006-04-01,1157024.5,1069013.8,299035.2,2525073.6
European Union (27 countries from 01/02/2020),EU27_2020,2006-07-01,1170745.2,1083843.6,301891.9,2556480.7
European Union (27 countries from 01/02/2020),EU27_2020,2006-10-01,1187770.4,1107774.1,308624.3,2604168.8
European Union (27 countries from 01/02/2020),EU27_2020,2007-01-01,1203062.9,1128951.5,317224.4,2649238.9
European Union (27 countries from 01/02/2020),EU27_2020,2007-04-01,1218344.6,1146235.4,318295.6,2682875.6
European Union (27 countries from 01/02/2020),EU27_2020,2007-07-01,1232668.2,1158170.5,319742.6,2710581.4
European Union (27 countries from 01/02/2020),EU27_2020,2007-10-01,1252366.3,1176606.3,322411.8,2751384.3
European Union (27 countries from 01/02/2020),EU27_2020,2008-01-01,1275497.1,1188413.9,321546.9,2785457.9
European Union (27 countries from 01/02/2020),EU27_2020,2008-04-01,1289900.2,1190972.6,320946.1,2801818.9
European Union (27 countries from 01/02/2020),EU27_2020,2008-07-01,1303770.1,1180448.9,319027.5,2803246.5
European Union (27 countries from 01/02/2020),EU27_2020,2008-10-01,1293884.4,1141580.1,307132,2742596.5
European Union (27 countries from 01/02/2020),EU27_2020,2009-01-01,1268030.5,1083112,292358.1,2643500.5
European Union (27 countries from 01/02/2020),EU27_2020,2009-04-01,1266995.1,1091162.4,288939.3,2647096.8
European Union (27 countries from 01/02/2020),EU27_2020,2009-07-01,1274443.8,1102536,291802.1,2668781.9
European Union (27 countries from 01/02/2020),EU27_2020,2009-10-01,1279478.2,1114696.2,297094.2,2691268.6
European Union (27 countries from 01/02/2020),EU27_2020,2010-01-01,1287793.1,1123111.2,300648.5,2711552.7
European Union (27 countries from 01/02/2020),EU27_2020,2010-04-01,1298599.7,1138833.9,310420.2,2747853.8
European Union (27 countries from 01/02/2020),EU27_2020,2010-07-01,1305511.2,1155107.9,315487.1,2776106.2
European Union (27 countries from 01/02/2020),EU27_2020,2010-10-01,1316043.9,1167596.3,319135.1,2802775.3
European Union (27 countries from 01/02/2020),EU27_2020,2011-01-01,1329779.7,1188326.4,327561.1,2845667.3
European Union (27 countries from 01/02/2020),EU27_2020,2011-04-01,1338751.1,1187244.5,326902.3,2852897.8
European Union (27 countries from 01/02/2020),EU27_2020,2011-07-01,1338976.3,1189423,328840.3,2857239.6
European Union (27 countries from 01/02/2020),EU27_2020,2011-10-01,1339964.6,1181352.7,327429.4,2848746.6
