reference_area,ref_area,time,series,value
Australia,AUS,1963-10-01,contr_unit_tax,0.00289934146060264
Australia,AUS,1963-10-01,contr_total,3.7579916060278946
Australia,AUS,1964-01-01,inflation_def,3.0787711813772045
Australia,AUS,1964-01-01,inflation_cpi,2.564114598784295
Australia,AUS,1964-01-01,contr_unit_labor_cost,1.4096690718269516
Australia,AUS,1964-01-01,contr_unit_profit,3.0813778079811316
Australia,AUS,1964-01-01,contr_unit_tax,-0.10431901477693348
Australia,AUS,1964-01-01,contr_total,4.386727865031149
Australia,AUS,1964-04-01,inflation_def,3.438814836685422
Australia,AUS,1964-04-01,inflation_cpi,2.564114598784295
Australia,AUS,1964-04-01,contr_unit_labor_cost,0.5337407596842157
Australia,AUS,1964-04-01,contr_unit_profit,1.813520251404626
Australia,AUS,1964-04-01,contr_unit_tax,-0.20855080945319937
Australia,AUS,1964-04-01,contr_total,2.1387102016356425
Australia,AUS,1964-07-01,inflation_def,3.155133563227963
Australia,AUS,1964-07-01,inflation_cpi,2.5316298695333472
Australia,AUS,1964-07-01,contr_unit_labor_cost,2.540605240209764
Australia,AUS,1964-07-01,contr_unit_profit,0.01913666592727445
Australia,AUS,1964-07-01,contr_unit_tax,0.3238797574750154
Australia,AUS,1964-07-01,contr_total,2.8836216636120535
Australia,AUS,1964-10-01,inflation_def,3.5950315989927484
Australia,AUS,1964-10-01,inflation_cpi,3.7974652489186855
Australia,AUS,1964-10-01,contr_unit_labor_cost,2.748256059295711
Australia,AUS,1964-10-01,contr_unit_profit,-0.2998450025102954
Australia,AUS,1964-10-01,contr_unit_tax,0.7439526634301056
Australia,AUS,1964-10-01,contr_total,3.1923637202155213
Australia,AUS,1965-01-01,inflation_def,2.870741308853919
Australia,AUS,1965-01-01,inflation_cpi,2.499997981093882
Australia,AUS,1965-01-01,contr_unit_labor_cost,2.912613805554524
Australia,AUS,1965-01-01,contr_unit_profit,-0.2866017389471104
Australia,AUS,1965-01-01,contr_unit_tax,0.5183819606984676
Australia,AUS,1965-01-01,contr_total,3.1443940273058812
Australia,AUS,1965-04-01,inflation_def,2.3119181814390544
Australia,AUS,1965-04-01,inflation_cpi,3.7499969716408454
Australia,AUS,1965-04-01,contr_unit_labor_cost,3.0782373451872624
Australia,AUS,1965-04-01,contr_unit_profit,-0.06150210380987962
Australia,AUS,1965-04-01,contr_unit_tax,0.3939242530860032
Australia,AUS,1965-04-01,contr_total,3.4106594944633857
Australia,AUS,1965-07-01,inflation_def,2.036953522023044
Australia,AUS,1965-07-01,inflation_cpi,3.7037145352088796
Australia,AUS,1965-07-01,contr_unit_labor_cost,3.112084658021803
Australia,AUS,1965-07-01,contr_unit_profit,-1.5715472564146742
Australia,AUS,1965-07-01,contr_unit_tax,0.5870527827918393
Australia,AUS,1965-07-01,contr_total,2.127590184398968
Australia,AUS,1965-10-01,inflation_def,2.630365794035394
Australia,AUS,1965-10-01,inflation_cpi,3.6585337029299447
Australia,AUS,1965-10-01,contr_unit_labor_cost,2.1788154554046457
Australia,AUS,1965-10-01,contr_unit_profit,-0.5894654423405414
Australia,AUS,1965-10-01,contr_unit_tax,0.4429978917300724
Australia,AUS,1965-10-01,contr_total,2.0323479047941766
