reference_area,ref_area,series,decade,var,value
Australia,AUS,inflation_cpi,1980-89,mean,8.409410110780993
Australia,AUS,inflation_cpi,1980-89,sd,2.2331991414497536
Australia,AUS,inflation_cpi,1990-99,mean,2.510930510356633
Australia,AUS,inflation_cpi,1990-99,sd,2.159401421920023
Australia,AUS,inflation_cpi,2000-09,mean,3.1647104667118646
Australia,AUS,inflation_cpi,2000-09,sd,1.2262387716728258
Australia,AUS,inflation_cpi,2010-19,mean,2.11826974639874
Australia,AUS,inflation_cpi,2010-19,sd,0.6762985874318488
Australia,AUS,inflation_cpi,2020-,mean,3.950596341617574
Australia,AUS,inflation_cpi,2020-,sd,2.412731850111734
Australia,AUS,inflation_def,1950-59,mean,NA
Australia,AUS,inflation_def,1950-59,sd,NA
Australia,AUS,inflation_def,1960-69,mean,2.9152246858378015
Australia,AUS,inflation_def,1960-69,sd,1.8620940828965693
Australia,AUS,inflation_def,1970-79,mean,10.275944301037379
Australia,AUS,inflation_def,1970-79,sd,4.2716053623644195
Australia,AUS,inflation_def,1980-89,mean,8.224280129347624
Australia,AUS,inflation_def,1980-89,sd,2.177053116236291
Australia,AUS,inflation_def,1990-99,mean,1.7788187919064191
Australia,AUS,inflation_def,1990-99,sd,1.4764112215457421
Australia,AUS,inflation_def,2000-09,mean,3.821279734216247
Australia,AUS,inflation_def,2000-09,sd,1.8455979769629456
Australia,AUS,inflation_def,2010-19,mean,2.0488790650277484
Australia,AUS,inflation_def,2010-19,sd,2.441423605462009
Australia,AUS,inflation_def,2020-,mean,4.482930893732236
Australia,AUS,inflation_def,2020-,sd,2.921645588046009
Australia,AUS,lab_comp,1950-59,mean,1874.5
Australia,AUS,lab_comp,1950-59,sd,27.577164466275352
Australia,AUS,lab_comp,1960-69,mean,2915.8000000000006
Australia,AUS,lab_comp,1960-69,sd,739.3647724003806
Australia,AUS,lab_comp,1970-79,mean,10207.299999999997
Australia,AUS,lab_comp,1970-79,sd,4120.707452330523
Australia,AUS,lab_comp,1980-89,mean,31431.625
Australia,AUS,lab_comp,1980-89,sd,8753.008322966629
Australia,AUS,lab_comp,1990-99,mean,62537.975
Australia,AUS,lab_comp,1990-99,sd,9561.880716967391
Australia,AUS,lab_comp,2000-09,mean,114452.875
Australia,AUS,lab_comp,2000-09,sd,22775.68644374905
Australia,AUS,lab_comp,2010-19,mean,197461.05
Australia,AUS,lab_comp,2010-19,sd,22385.715172678934
Australia,AUS,lab_comp,2020-,mean,277261.1111111111
Australia,AUS,lab_comp,2020-,sd,28972.670450715304
Australia,AUS,labor_share,1950-59,mean,0.46516318732103196
Australia,AUS,labor_share,1950-59,sd,0.0026247048761385843
Australia,AUS,labor_share,1960-69,mean,0.48657593777059865
Australia,AUS,labor_share,1960-69,sd,0.010702622398866437
Australia,AUS,labor_share,1970-79,mean,0.5379603984563415
Australia,AUS,labor_share,1970-79,sd,0.024396580148689874
Australia,AUS,labor_share,1980-89,mean,0.5131912912426165
Australia,AUS,labor_share,1980-89,sd,0.020698219954831006
Australia,AUS,labor_share,1990-99,mean,0.4932136888690455
Australia,AUS,labor_share,1990-99,sd,0.005272101278215402
Australia,AUS,labor_share,2000-09,mean,0.4797552441781023
Australia,AUS,labor_share,2000-09,sd,0.006260937197118707
Australia,AUS,labor_share,2010-19,mean,0.47677787654953685
Australia,AUS,labor_share,2010-19,sd,0.0068781639170935535
Australia,AUS,labor_share,2020-,mean,0.470351870390881
Australia,AUS,labor_share,2020-,sd,0.014707329550578895
