reference_area,ref_area,time,series,value
Australia,AUS,1962-07-01,inflation_def,0.5502659036865643
Australia,AUS,1962-07-01,inflation_cpi,0
Australia,AUS,1962-07-01,contr_unit_labor_cost,-0.8042529214812817
Australia,AUS,1962-07-01,contr_unit_profit,1.515058065493238
Australia,AUS,1962-07-01,contr_unit_tax,0.36295087295370765
Australia,AUS,1962-07-01,contr_total,1.073756016965664
Australia,AUS,1962-07-01,contr_relative,-0.5308396686561656
Australia,AUS,1962-07-01,labor_share,0.4798967963878736
Australia,AUS,1962-07-01,ls_to_ps,1.062857142857143
Australia,AUS,1962-10-01,inflation_def,1.853447272273634
Australia,AUS,1962-10-01,inflation_cpi,0
Australia,AUS,1962-10-01,contr_unit_labor_cost,-0.7450094805968919
Australia,AUS,1962-10-01,contr_unit_profit,1.5986110123520123
Australia,AUS,1962-10-01,contr_unit_tax,0.15312270536234895
Australia,AUS,1962-10-01,contr_total,1.0067242371174694
Australia,AUS,1962-10-01,contr_relative,-0.4660354988426926
Australia,AUS,1962-10-01,labor_share,0.47197825177749897
Australia,AUS,1962-10-01,ls_to_ps,1.0487918215613383
Australia,AUS,1963-01-01,inflation_def,2.3481739738000273
Australia,AUS,1963-01-01,inflation_cpi,0
Australia,AUS,1963-01-01,contr_unit_labor_cost,-0.35498423121337114
Australia,AUS,1963-01-01,contr_unit_profit,1.0584096802567788
Australia,AUS,1963-01-01,contr_unit_tax,0.15705156976235754
Australia,AUS,1963-01-01,contr_total,0.8604770188057653
Australia,AUS,1963-01-01,contr_relative,-0.3353939762977688
Australia,AUS,1963-01-01,labor_share,0.4728934010152284
Australia,AUS,1963-01-01,ls_to_ps,1.0557570262919311
Australia,AUS,1963-04-01,inflation_def,2.690936738029559
Australia,AUS,1963-04-01,inflation_cpi,0
Australia,AUS,1963-04-01,contr_unit_labor_cost,0.7172862790636669
Australia,AUS,1963-04-01,contr_unit_profit,0.9190976523896556
Australia,AUS,1963-04-01,contr_unit_tax,0.620887559787146
Australia,AUS,1963-04-01,contr_total,2.2572714912404686
Australia,AUS,1963-04-01,contr_relative,0.7804244491308636
Australia,AUS,1963-04-01,labor_share,0.4823072202904479
Australia,AUS,1963-04-01,ls_to_ps,1.066485753052917
Australia,AUS,1963-07-01,inflation_def,3.459377223976312
Australia,AUS,1963-07-01,inflation_cpi,1.2820642016360795
Australia,AUS,1963-07-01,contr_unit_labor_cost,0.653023678668745
Australia,AUS,1963-07-01,contr_unit_profit,3.515908393068943
Australia,AUS,1963-07-01,contr_unit_tax,0.09164110539318401
Australia,AUS,1963-07-01,contr_total,4.260573177130873
Australia,AUS,1963-07-01,contr_relative,0.18573398554867862
Australia,AUS,1963-07-01,labor_share,0.4702912621359223
Australia,AUS,1963-07-01,ls_to_ps,1.0024834437086092
Australia,AUS,1963-10-01,inflation_def,2.3796049715568257
Australia,AUS,1963-10-01,inflation_cpi,1.2820642016360795
Australia,AUS,1963-10-01,contr_unit_labor_cost,1.7037564938587686
Australia,AUS,1963-10-01,contr_unit_profit,2.0513357707085236
Australia,AUS,1963-10-01,contr_unit_tax,0.00289934146060264
Australia,AUS,1963-10-01,contr_total,3.7579916060278946
Australia,AUS,1963-10-01,contr_relative,0.8305595398798596
Australia,AUS,1963-10-01,labor_share,0.47745862659311394
Australia,AUS,1963-10-01,ls_to_ps,1.03976801988401
Australia,AUS,1964-01-01,inflation_def,3.0787711813772045
Australia,AUS,1964-01-01,inflation_cpi,2.564114598784295
Australia,AUS,1964-01-01,contr_unit_labor_cost,1.4096690718269516
Australia,AUS,1964-01-01,contr_unit_profit,3.0813778079811316
Australia,AUS,1964-01-01,contr_unit_tax,-0.10431901477693348
Australia,AUS,1964-01-01,contr_total,4.386727865031149
Australia,AUS,1964-01-01,contr_relative,0.4574801143098203
Australia,AUS,1964-01-01,labor_share,0.4724572288024065
